responseValue,self1861,self62,other1861,other62
0,14,14,16,18
1,19,20,21,23
2,22,24,24,26
3,25,26,27,28
4,27,29,29,30
5,29,31,31,32
6,31,33,33,33
7,32,35,34,35
8,34,36,36,36
9,35,38,38,38
10,37,39,39,39
11,38,41,40,40
12,40,42,42,41
13,41,44,43,43
14,42,45,44,44
15,44,46,45,45
16,45,48,47,46
17,46,49,48,47
18,47,50,49,48
19,49,52,50,49
20,50,53,52,50
21,51,54,53,52
22,52,56,54,53
23,54,57,55,54
24,55,58,57,55
25,56,60,58,56
26,58,61,59,57
27,59,63,60,58
28,60,64,62,60
29,62,66,63,61
30,63,67,65,62
31,65,69,66,64
32,66,71,68,65
33,68,73,70,67
34,69,75,71,68
35,71,77,73,70
36,73,79,76,72
37,75,82,78,75
38,78,84,81,77
39,81,88,85,81
40,86,95,91,87
